"entity_key","location_id","initial_geoid"
"ansi:00342852","loc_00000410","13043"
"ansi:00326650","loc_00000411","13045"
"ansi:00353230","loc_00000412","13047"
"ansi:00357747","loc_00000413","13049"
"ansi:01694477","loc_00000414","13051"
"ansi:00351012","loc_00000415","13053"
"ansi:00352213","loc_00000416","13055"
"ansi:01685718","loc_00000417","13057"
"ansi:01672699","loc_00000418","13059"
"ansi:00344805","loc_00000419","13061"
"ansi:01672399","loc_00000420","13063"
"ansi:00351285","loc_00000421","13065"
"ansi:01686112","loc_00000422","13067"
"ansi:00347456","loc_00000423","13069"
"ansi:00343936","loc_00000424","13071"
"ansi:00348865","loc_00000425","13073"
"ansi:00343878","loc_00000426","13075"
"ansi:00326666","loc_00000427","13077"
"ansi:00342918","loc_00000428","13079"
"ansi:00351607","loc_00000429","13081"
"ansi:00347465","loc_00000430","13083"
"ansi:00351312","loc_00000431","13085"
"ansi:00352234","loc_00000432","13087"
"ansi:01687424","loc_00000433","13089"
"ansi:00348116","loc_00000434","13091"
"ansi:00351608","loc_00000435","13093"
"ansi:00351259","loc_00000436","13095"
"ansi:01686467","loc_00000437","13097"
"ansi:00345041","loc_00000438","13099"
"ansi:00348092","loc_00000439","13101"
"ansi:00350219","loc_00000440","13103"
"ansi:00347828","loc_00000441","13105"
"ansi:00347508","loc_00000442","13107"
"ansi:00345923","loc_00000443","13109"
"ansi:00351094","loc_00000444","13111"
"ansi:01687740","loc_00000445","13113"
"ansi:00353665","loc_00000446","13115"
"ansi:01673358","loc_00000447","13117"
"ansi:00349324","loc_00000448","13119"
"ansi:01694833","loc_00000449","13121"
"ansi:00351260","loc_00000450","13123"
"ansi:00345642","loc_00000451","13125"
"ansi:01671513","loc_00000452","13127"
"ansi:00356672","loc_00000453","13129"
"ansi:00351261","loc_00000454","13131"
"ansi:00348672","loc_00000455","13133"
"ansi:01688166","loc_00000456","13135"
"ansi:00351383","loc_00000457","13137"
"ansi:01686953","loc_00000458","13139"
"ansi:00348209","loc_00000459","13141"
"ansi:00350637","loc_00000460","13143"
"ansi:00326700","loc_00000461","13145"
"ansi:01687995","loc_00000462","13147"
"ansi:00347067","loc_00000463","13149"
"ansi:01671894","loc_00000464","13151"
"ansi:01671693","loc_00000465","13153"
"ansi:00352302","loc_00000466","13155"
"ansi:00349570","loc_00000467","13157"
"ansi:00346144","loc_00000468","13159"
"ansi:01687999","loc_00000469","13161"
"ansi:00345714","loc_00000470","13163"
"ansi:00342985","loc_00000471","13165"
"ansi:00346664","loc_00000472","13167"
"ansi:00345367","loc_00000473","13169"
"ansi:00326713","loc_00000474","13171"
"ansi:00348102","loc_00000475","13173"
"ansi:00346568","loc_00000476","13175"
"ansi:00343390","loc_00000477","13177"
"ansi:00357095","loc_00000478","13179"
"ansi:01688000","loc_00000479","13181"
"ansi:00326719","loc_00000480","13183"
"ansi:00326720","loc_00000481","13185"
"ansi:00357196","loc_00000482","13187"
"ansi:00348794","loc_00000483","13189"
"ansi:00356886","loc_00000484","13191"
"ansi:00346957","loc_00000485","13193"
"ansi:01688004","loc_00000486","13195"
"ansi:00344107","loc_00000487","13197"
"ansi:00346892","loc_00000488","13199"
"ansi:00344088","loc_00000489","13201"
"ansi:00343645","loc_00000490","13205"
"ansi:00343073","loc_00000491","13207"
"ansi:00352276","loc_00000492","13209"
"ansi:00346008","loc_00000493","13211"
"ansi:01688005","loc_00000494","13213"
"ansi:00357428","loc_00000495","13215"
"ansi:01673547","loc_00000496","13217"
"ansi:00356774","loc_00000497","13219"
"ansi:00351262","loc_00000498","13221"
"ansi:00349912","loc_00000499","13223"
"ansi:00343153","loc_00000500","13225"
"ansi:01673011","loc_00000501","13227"
"ansi:00349086","loc_00000502","13229"
"ansi:00346482","loc_00000503","13231"
"ansi:00343585","loc_00000504","13233"
"ansi:00347593","loc_00000505","13235"
"ansi:00347246","loc_00000506","13237"
"ansi:00350547","loc_00000507","13239"
"ansi:00351489","loc_00000508","13241"
"ansi:00352242","loc_00000509","13243"
"ansi:00358024","loc_00000510","13245"
"ansi:00357592","loc_00000511","13247"
"ansi:00344129","loc_00000512","13249"
"ansi:00350204","loc_00000513","13251"
"ansi:00351263","loc_00000514","13253"
"ansi:00353055","loc_00000515","13255"
"ansi:00350028","loc_00000516","13257"
"ansi:00347360","loc_00000517","13259"
"ansi:00343504","loc_00000518","13261"
"ansi:00326757","loc_00000519","13263"
"ansi:00347654","loc_00000520","13265"
"ansi:00347445","loc_00000521","13267"
"ansi:00344156","loc_00000522","13269"
"ansi:00356958","loc_00000523","13271"
"ansi:00352238","loc_00000524","13273"
"ansi:00343835","loc_00000525","13275"
"ansi:00344090","loc_00000526","13277"
"ansi:00345220","loc_00000527","13279"
"ansi:00351252","loc_00000528","13281"
"ansi:00347505","loc_00000529","13283"
"ansi:01673298","loc_00000530","13285"
"ansi:00343238","loc_00000531","13287"
"ansi:00345456","loc_00000532","13289"
"ansi:00353193","loc_00000533","13291"
"ansi:00346759","loc_00000534","13293"
"ansi:00354216","loc_00000535","13295"
"ansi:00351264","loc_00000536","13297"
"ansi:00357722","loc_00000537","13299"
"ansi:00347777","loc_00000538","13301"
"ansi:00348428","loc_00000539","13303"
"ansi:00350608","loc_00000540","13305"
"ansi:00352287","loc_00000541","13307"
"ansi:00351278","loc_00000542","13309"
"ansi:00326781","loc_00000543","13311"
"ansi:00353513","loc_00000544","13313"
"ansi:00345499","loc_00000545","13315"
"ansi:00351265","loc_00000546","13317"
"ansi:00346824","loc_00000547","13319"
"ansi:00343365","loc_00000548","13321"
"ansi:00365280","loc_00000549","15001"
"ansi:00365281","loc_00000550","15003"
"ansi:01702380","loc_00000551","15005"
"ansi:00365282","loc_00000552","15007"
"ansi:00365283","loc_00000553","15009"
"ansi:00395066","loc_00000554","16001"
"ansi:00395067","loc_00000555","16003"
"ansi:00395091","loc_00000556","16005"
"ansi:00395090","loc_00000557","16007"
"ansi:00395190","loc_00000558","16009"
"ansi:00400593","loc_00000559","16011"
"ansi:00395696","loc_00000560","16013"
"ansi:00395157","loc_00000561","16015"
"ansi:00395158","loc_00000562","16017"
"ansi:00395407","loc_00000563","16019"
"ansi:00395159","loc_00000564","16021"
"ansi:00401703","loc_00000565","16023"
"ansi:00399408","loc_00000566","16025"
"ansi:00399406","loc_00000567","16027"
"ansi:00395406","loc_00000568","16029"
"ansi:00395698","loc_00000569","16031"
"ansi:00399755","loc_00000570","16033"
"ansi:00395697","loc_00000571","16035"
"ansi:00399758","loc_00000572","16037"
"ansi:00400252","loc_00000573","16039"
"ansi:00395585","loc_00000574","16041"
"ansi:00395408","loc_00000575","16043"
"ansi:00395442","loc_00000576","16045"
"ansi:00395441","loc_00000577","16047"
"ansi:00395699","loc_00000578","16049"
"ansi:00399751","loc_00000579","16051"
"ansi:00395662","loc_00000580","16053"
"ansi:00395661","loc_00000581","16055"
"ansi:00395613","loc_00000582","16057"
"ansi:00399754","loc_00000583","16059"
"ansi:00395622","loc_00000584","16061"
"ansi:00395624","loc_00000585","16063"
"ansi:00394803","loc_00000586","16065"
"ansi:00394807","loc_00000587","16067"
"ansi:00399394","loc_00000588","16069"
"ansi:00399759","loc_00000589","16071"
"ansi:00399760","loc_00000590","16073"
"ansi:00394896","loc_00000591","16075"
"ansi:00394951","loc_00000592","16077"
"ansi:01702379","loc_00000593","16079"
"ansi:00399297","loc_00000594","16081"
"ansi:00399334","loc_00000595","16083"
"ansi:00399756","loc_00000596","16085"
"ansi:00399757","loc_00000597","16087"
"ansi:00424202","loc_00000598","17001"
"ansi:00424203","loc_00000599","17003"
"ansi:00424204","loc_00000600","17005"
"ansi:00424205","loc_00000601","17007"
"ansi:00424206","loc_00000602","17009"
"ansi:00424207","loc_00000603","17011"
"ansi:00424208","loc_00000604","17013"
"ansi:00424209","loc_00000605","17015"
"ansi:00424210","loc_00000606","17017"
"ansi:00424211","loc_00000607","17019"
"ansi:00424212","loc_00000608","17021"
"ansi:00424213","loc_00000609","17023"
"ansi:00424214","loc_00000610","17025"
"ansi:00424215","loc_00000611","17027"
"ansi:00424216","loc_00000612","17029"
"ansi:01784766","loc_00000613","17031"
"ansi:00424218","loc_00000614","17033"
"ansi:00424219","loc_00000615","17035"
"ansi:00422190","loc_00000616","17037"
"ansi:00426598","loc_00000617","17039"
"ansi:00424222","loc_00000618","17041"
"ansi:00422191","loc_00000619","17043"
"ansi:00424224","loc_00000620","17045"
"ansi:00424225","loc_00000621","17047"
"ansi:00424226","loc_00000622","17049"
"ansi:00424227","loc_00000623","17051"
"ansi:00424228","loc_00000624","17053"
"ansi:00424229","loc_00000625","17055"
"ansi:00424230","loc_00000626","17057"
"ansi:00424231","loc_00000627","17059"
"ansi:00424232","loc_00000628","17061"
"ansi:00424233","loc_00000629","17063"
"ansi:00424234","loc_00000630","17065"
"ansi:00424235","loc_00000631","17067"
"ansi:00424236","loc_00000632","17069"
"ansi:00424237","loc_00000633","17071"
"ansi:00424238","loc_00000634","17073"
"ansi:00424239","loc_00000635","17075"
"ansi:00424240","loc_00000636","17077"
"ansi:00424241","loc_00000637","17079"
"ansi:00424242","loc_00000638","17081"
"ansi:00424243","loc_00000639","17083"
"ansi:00424244","loc_00000640","17085"
"ansi:00424245","loc_00000641","17087"
"ansi:00424246","loc_00000642","17089"
"ansi:00424247","loc_00000643","17091"
"ansi:00424248","loc_00000644","17093"
"ansi:00424249","loc_00000645","17095"
"ansi:01784796","loc_00000646","17097"
"ansi:00422247","loc_00000647","17099"
"ansi:00424252","loc_00000648","17101"
"ansi:00424253","loc_00000649","17103"
"ansi:00424254","loc_00000650","17105"
"ansi:00424255","loc_00000651","17107"
"ansi:01784729","loc_00000652","17109"
"ansi:01784815","loc_00000653","17111"
"ansi:01784833","loc_00000654","17113"
"ansi:00424256","loc_00000655","17115"
"ansi:00424257","loc_00000656","17117"
"ansi:00424258","loc_00000657","17119"
"ansi:00424259","loc_00000658","17121"
"ansi:00424260","loc_00000659","17123"
"ansi:00424261","loc_00000660","17125"
"ansi:01784730","loc_00000661","17127"
"ansi:00424266","loc_00000662","17129"
"ansi:01784750","loc_00000663","17131"
"ansi:01784865","loc_00000664","17133"
"ansi:01784866","loc_00000665","17135"
"ansi:00424270","loc_00000666","17137"
"ansi:01784885","loc_00000667","17139"
"ansi:01784894","loc_00000668","17141"
"ansi:01784920","loc_00000669","17143"
"ansi:01784940","loc_00000670","17145"
"ansi:00424275","loc_00000671","17147"
"ansi:01784941","loc_00000672","17149"
"ansi:00424277","loc_00000673","17151"
"ansi:01784966","loc_00000674","17153"
"ansi:00424279","loc_00000675","17155"
"ansi:01784967","loc_00000676","17157"
"ansi:00424281","loc_00000677","17159"
"ansi:00424282","loc_00000678","17161"
"ansi:01784987","loc_00000679","17163"
"ansi:00424283","loc_00000680","17165"
"ansi:01785010","loc_00000681","17167"
